Recording_ID,Source,Species,Month,Latitude,Longitude,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz,NL_StableLights_Avg,TreeCover,PopulationDensity,ClimateDivisions,Level1Ecoregion,Level1Ecoregion_Edited,KG_ClimateZones,KG_ClimateZones_Edited,Elevation_m,Distance_to_Road_m,Distance_to_Road_km
26786,ML,Pipilo erythrophthalmus,6,36.11374028,-81.81156132,4455.847953,2851.169591,5888.596491,1891.22807,4040.350877,3051.754386,472.8070175,1647.660819,7,85,1.34886,NORTHERN MOUNTAINS,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",1774,1545.635265,1.545635265
27300,ML,Pipilo erythrophthalmus,5,40.8333333,-73.3333333,4633.508772,3395.614035,5544.736842,2492.982456,3094.736842,2020.175439,386.8421053,1280.877193,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27316,ML,Pipilo erythrophthalmus,5,40.8333333,-73.3333333,4556.140351,3399.195906,5415.789474,2578.947368,2879.824561,2106.140351,472.8070175,1199.926901,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27329,ML,Pipilo erythrophthalmus,5,40.8333333,-73.3333333,4954.704944,3258.851675,5673.684211,2492.982456,3223.684211,3223.684211,472.8070175,1738.835726,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27336,ML,Pipilo erythrophthalmus,5,40.8333333,-73.3333333,4703.508772,3021.052632,5200.877193,2707.894737,2535.964912,2235.087719,1332.45614,1725.438596,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27337,ML,Pipilo erythrophthalmus,5,40.8333333,-73.3333333,5353.703704,3538.888889,7736.842105,2321.052632,5458.77193,3954.385965,343.8596491,1857.797271,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27369,ML,Pipilo erythrophthalmus,5,40.8333333,-73.3333333,4805.438596,3616.25731,7135.087719,1977.192982,5200.877193,3524.561404,472.8070175,1232.163743,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27372,ML,Pipilo erythrophthalmus,5,40.8333333,-73.3333333,4384.210526,3606.22807,4942.982456,2578.947368,2407.017544,1547.368421,257.8947368,820.9649123,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27373,ML,Pipilo erythrophthalmus,5,40.8333333,-73.3333333,4764.439946,3636.977058,5458.77193,2278.070175,3223.684211,2879.824561,429.8245614,1170.445344,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27378,ML,Pipilo erythrophthalmus,5,40.8333333,-73.3333333,5282.066277,3897.076023,6146.491228,2235.087719,3954.385965,3008.77193,515.7894737,1427.97271,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
