Pair,Mean_Residual,T_test_pval,n,Overall_Mean_Residual,Feature,P_value_adj
SOUTHERN SEMIARID HIGHLANDS_SOUTHERN SEMIARID HIGHLANDS,-0.070885174,1.95515780651284e-07,3655,6.61992118597049e-16,max_sylls_freq_Hz,3.01115212981656e-07
SOUTHERN SEMIARID HIGHLANDS_TEMPERATE SIERRAS,-0.10492027,2.71791863285178e-40,9546,6.61992118597049e-16,max_sylls_freq_Hz,1.05778454900177e-39
SOUTHERN SEMIARID HIGHLANDS_TROPICAL DRY FORESTS,-0.183079711,1.62999240186172e-13,860,6.61992118597049e-16,max_sylls_freq_Hz,3.1718771063255e-13
TEMPERATE SIERRAS_TEMPERATE SIERRAS,-0.100331083,1.00015312946609e-22,6105,6.61992118597049e-16,max_sylls_freq_Hz,2.76965482005993e-22
TEMPERATE SIERRAS_TROPICAL DRY FORESTS,-0.129381357,1.41976742482479e-08,1110,6.61992118597049e-16,max_sylls_freq_Hz,2.27162787971967e-08
TROPICAL DRY FORESTS_TROPICAL DRY FORESTS,-0.101781765,0.318230384,45,6.61992118597049e-16,max_sylls_freq_Hz,0.336949818
GREAT PLAINS_GREAT PLAINS,-0.190801347,5.13198861566373e-169,11628,4.42845242586449e-16,min_sylls_freq_Hz,2.46335453551859e-167
GREAT PLAINS_MARINE WEST COAST FOREST,0.017239488,0.000625044,31671,4.42845242586449e-16,min_sylls_freq_Hz,0.000853141
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,-0.033310084,1.35699240462222e-11,31518,4.42845242586449e-16,min_sylls_freq_Hz,2.44258632831999e-11
GREAT PLAINS_NORTH AMERICAN DESERTS,-0.012991296,0.027862846,22338,4.42845242586449e-16,min_sylls_freq_Hz,0.033716385
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,-0.009905374,0.085860472,25398,4.42845242586449e-16,min_sylls_freq_Hz,0.097353606
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,0.134020912,2.06846085176516e-59,13158,4.42845242586449e-16,min_sylls_freq_Hz,1.21574841899667e-58
GREAT PLAINS_TEMPERATE SIERRAS,-0.021218605,0.003019748,16983,4.42845242586449e-16,min_sylls_freq_Hz,0.003971175
GREAT PLAINS_TROPICAL DRY FORESTS,-0.051774328,0.016349314,1530,4.42845242586449e-16,min_sylls_freq_Hz,0.020258546
MARINE WEST COAST FOREST_MARINE WEST COAST FOREST,0.042572499,2.12754105148916e-11,21321,4.42845242586449e-16,min_sylls_freq_Hz,3.76743201870856e-11
MARINE WEST COAST FOREST_MEDITERRANEAN CALIFORNIA,-0.022564921,9.59625535851242e-08,42642,4.42845242586449e-16,min_sylls_freq_Hz,1.49390353689274e-07
MARINE WEST COAST FOREST_NORTH AMERICAN DESERTS,-0.000367945,0.943058707,30222,4.42845242586449e-16,min_sylls_freq_Hz,0.946344626
MARINE WEST COAST FOREST_NORTHWESTERN FORESTED MOUNTAINS,0.005936268,0.240820224,34362,4.42845242586449e-16,min_sylls_freq_Hz,0.261721602
MARINE WEST COAST FOREST_SOUTHERN SEMIARID HIGHLANDS,0.15470387,3.08245206453492e-101,17802,4.42845242586449e-16,min_sylls_freq_Hz,3.69894247744191e-100
MARINE WEST COAST FOREST_TEMPERATE SIERRAS,-0.005883596,0.338477547,22977,4.42845242586449e-16,min_sylls_freq_Hz,0.355431666
MARINE WEST COAST FOREST_TROPICAL DRY FORESTS,-0.012965402,0.469833294,2070,4.42845242586449e-16,min_sylls_freq_Hz,0.484989207
MEDITERRANEAN CALIFORNIA_MEDITERRANEAN CALIFORNIA,-0.020358759,0.00076445,21115,4.42845242586449e-16,min_sylls_freq_Hz,0.001033622
MEDITERRANEAN CALIFORNIA_NORTH AMERICAN DESERTS,-0.010410681,0.043007071,30076,4.42845242586449e-16,min_sylls_freq_Hz,0.051608485
MEDITERRANEAN CALIFORNIA_NORTHWESTERN FORESTED MOUNTAINS,-0.018959637,0.0001224,34196,4.42845242586449e-16,min_sylls_freq_Hz,0.000170295
